video_id,video_title,upload_date,view_count,like_count,comment_count
cy8r7WSuT1I,Why π is in the normal distribution (beyond integral tricks),2023-04-02,912457,35873,1358
zeJD6dqJ5lo,But what is the Central Limit Theorem?,2023-03-14,2087335,45758,1819
KuXjwB4LzSA,But what is a convolution?,2022-11-18,1716231,74723,2290
851U557j6HE,Researchers thought this was a bug (Borwein integrals),2022-11-04,1777159,57608,1750
cDofhN-RJqg,"We ran a contest for math explainers, here are the results (SoME2)",2022-10-01,689061,35850,1101
VYQVlVoWoPY,How to lie using visual proofs,2022-07-03,2202379,89851,3593
hZuYICAEN9Y,Summer of Math Exposition 2 Invitation,2022-06-09,257981,12296,530
bOXCLR3Wric,Olympiad level counting,2022-05-23,1531544,56912,2535
fRed0Xmc2Wg,"Oh, wait, actually the best Wordle opener is not “crane”…",2022-02-13,5398356,141936,6627
v68zYyaEmEA,Solving Wordle using information theory,2022-02-06,9634513,209458,8619
ltLUadnCyi0,"Alice, Bob, and the average area of a cube&#39;s shadow",2021-12-20,2166924,72991,3625
F3Qixy-r_rQ,2021 Summer of Math Exposition results,2021-10-23,756189,36673,859
LqbZpur38nw,"Beyond the Mandelbrot set, an intro to holomorphic dynamics",2021-10-16,1174541,37989,1433
-RdOwhmqP5s,From Newton’s method to Newton’s fractal (which Newton knew nothing about),2021-10-12,2454734,83616,3224
ojjzXyQCzso,The Summer of Math Exposition,2021-07-16,701585,31055,1678
e50Bj7jn9IQ,"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",2021-05-07,820273,24265,1285
O85OWBJ2ayo,How (and why) to raise e to the power of a matrix | DE6,2021-04-01,2224329,66209,2752
lG4VkPoG3ko,"The medical test paradox, and redesigning Bayes&#39; rule",2020-12-22,995701,41837,2380
b3NxrZOu_CE,"Hamming codes part 2, the elegance of it all",2020-09-04,742877,34257,1482
X8jsijhllIA,How to send a self-correcting message (Hamming codes),2020-09-04,1919019,66764,1870
mH0oCDa74tE,"Group theory, abstraction, and the 196,883-dimensional monster",2020-08-19,2632453,105101,5401
wTJI_WuZSwE,The impossible chessboard puzzle,2020-07-05,1191425,36467,1889
QvuQH4_05LI,Tips to be a better problem solver [Last live lecture] | Ep. 10 Lockdown live math,2020-05-22,1238019,24257,986
pq9LcwC7CoY,Intuition for i to the power i | Ep. 9 Lockdown live math,2020-05-15,479629,9006,694
D__UaR5MQao,The DP-3T algorithm for contact tracing (via Nicky Case),2020-05-14,347468,23190,1592
elQVZLLiod4,The power tower puzzle | Ep. 8 Lockdown live math,2020-05-12,748286,17348,1115
4PDoT7jtxmw,What makes the natural log &quot;natural&quot;? | Ep. 7 Lockdown live math,2020-05-08,1295331,23517,1336
cEvgcoyZvB4,Logarithm Fundamentals | Ep. 6 Lockdown live math,2020-05-05,788347,15141,785
IAEASE5GjdI,Imaginary interest rates | Ep. 5 Lockdown live math,2020-05-01,703433,14547,1029
ZxYOEwM6Wbk,What is Euler&#39;s formula actually saying? | Ep. 4 Lockdown live math,2020-04-28,950788,25397,1717
5PcpBw5Hbwo,Complex number fundamentals | Ep. 3 Lockdown live math,2020-04-24,1427293,30717,1841
yBw67Fb31Cs,Trigonometry fundamentals | Ep. 2 Lockdown live math,2020-04-21,1631406,32590,1346
MHXO86wKeDY,The simpler quadratic formula | Ep. 1 Lockdown live math,2020-04-17,1266089,43627,2248
ppWPuXsnf1Q,Lockdown math announcement,2020-04-16,833279,48222,2563
ZA4JkHKZM50,"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",2020-04-12,2425674,65027,3425
gxAaO2rsdIs,Simulating an epidemic,2020-03-27,5087555,159112,6535
8idr1WZ1A7Q,"Binomial distributions | Probabilities of probabilities, part 1",2020-03-15,1909038,70733,2226
Kas0tIxDvrg,Exponential growth and epidemics,2020-03-08,5919428,168659,6477
U_85TaXbeIo,The quick proof of Bayes&#39; theorem,2019-12-22,454550,13922,448
HZGCoVF3YvM,"Bayes theorem, the geometry of changing beliefs",2019-12-22,3461241,104818,3408
Agbh95KyWxY,"Q&amp;A with Grant (3blue1brown), windy walk edition",2019-11-23,411466,18241,1248
EK32jo7i5LQ,"Why do prime numbers make these spirals? | Dirichlet’s theorem, pi approximations, and more",2019-10-08,4342362,139386,5873
M64HUIJFTZM,"The unexpectedly hard windmill question (2011 IMO, Q2)",2019-08-04,4436359,133785,5739
v0YEaeIClKY,"e^(iπ) in 3.14 minutes, using dynamics | DE5",2019-07-07,2411298,64854,1873
-qgreAUpPwM,Pure Fourier series animation montage,2019-07-03,629185,19118,1244
r6sGWTCMz2k,But what is a Fourier series?  From heat flow to drawing with circles | DE4,2019-06-30,16345468,158001,3939
ToIXSwZ1pJU,Solving the heat equation | DE3,2019-06-16,1131869,27336,918
